loss=0.1864, Monte Carlo price=0.3736, predicted=0.6616
loss=0.1346, Monte Carlo price=0.3667, predicted=0.5826
loss=0.1029, Monte Carlo price=0.3685, predicted=0.4898
loss=0.0939, Monte Carlo price=0.3683, predicted=0.4198
loss=0.0944, Monte Carlo price=0.3730, predicted=0.3945
loss=0.0930, Monte Carlo price=0.3721, predicted=0.3834
loss=0.0936, Monte Carlo price=0.3754, predicted=0.3756
loss=0.0933, Monte Carlo price=0.3744, predicted=0.3788
loss=0.0901, Monte Carlo price=0.3701, predicted=0.3755
loss=0.0888, Monte Carlo price=0.3752, predicted=0.3799
loss=0.0895, Monte Carlo price=0.3752, predicted=0.3777
loss=0.0890, Monte Carlo price=0.3722, predicted=0.3737
loss=0.0855, Monte Carlo price=0.3724, predicted=0.3764
loss=0.0864, Monte Carlo price=0.3662, predicted=0.3821
loss=0.0830, Monte Carlo price=0.3586, predicted=0.3811
loss=0.0820, Monte Carlo price=0.3772, predicted=0.3770
loss=0.0753, Monte Carlo price=0.3763, predicted=0.3706
loss=0.0750, Monte Carlo price=0.3715, predicted=0.3730
loss=0.0717, Monte Carlo price=0.3773, predicted=0.3706
loss=0.0664, Monte Carlo price=0.3730, predicted=0.3722
loss=0.0598, Monte Carlo price=0.3616, predicted=0.3676
loss=0.0575, Monte Carlo price=0.3746, predicted=0.3743
loss=0.0580, Monte Carlo price=0.3840, predicted=0.3763
loss=0.0518, Monte Carlo price=0.3734, predicted=0.3761
loss=0.0463, Monte Carlo price=0.3695, predicted=0.3779
loss=0.0490, Monte Carlo price=0.3708, predicted=0.3808
loss=0.0436, Monte Carlo price=0.3714, predicted=0.3790
loss=0.0422, Monte Carlo price=0.3717, predicted=0.3684
loss=0.0440, Monte Carlo price=0.3667, predicted=0.3749
loss=0.0405, Monte Carlo price=0.3809, predicted=0.3765
loss=0.0410, Monte Carlo price=0.3663, predicted=0.3680
loss=0.0383, Monte Carlo price=0.3767, predicted=0.3700
loss=0.0373, Monte Carlo price=0.3783, predicted=0.3739
loss=0.0361, Monte Carlo price=0.3621, predicted=0.3738
loss=0.0349, Monte Carlo price=0.3713, predicted=0.3692
loss=0.0359, Monte Carlo price=0.3694, predicted=0.3761
loss=0.0335, Monte Carlo price=0.3793, predicted=0.3757
loss=0.0323, Monte Carlo price=0.3730, predicted=0.3688
loss=0.0319, Monte Carlo price=0.3724, predicted=0.3741
loss=0.0317, Monte Carlo price=0.3762, predicted=0.3735
loss=0.0300, Monte Carlo price=0.3815, predicted=0.3742
loss=0.0299, Monte Carlo price=0.3678, predicted=0.3723
loss=0.0312, Monte Carlo price=0.3693, predicted=0.3766
loss=0.0326, Monte Carlo price=0.3673, predicted=0.3730
loss=0.0288, Monte Carlo price=0.3649, predicted=0.3746
loss=0.0287, Monte Carlo price=0.3729, predicted=0.3824
loss=0.0317, Monte Carlo price=0.3743, predicted=0.3755
loss=0.0342, Monte Carlo price=0.3693, predicted=0.3812
loss=0.0261, Monte Carlo price=0.3723, predicted=0.3771
loss=0.0255, Monte Carlo price=0.3732, predicted=0.3811
loss=0.0245, Monte Carlo price=0.3749, predicted=0.3779
loss=0.0241, Monte Carlo price=0.3747, predicted=0.3789
loss=0.0246, Monte Carlo price=0.3856, predicted=0.3816
loss=0.0238, Monte Carlo price=0.3623, predicted=0.3763
loss=0.0242, Monte Carlo price=0.3650, predicted=0.3828
loss=0.0258, Monte Carlo price=0.3723, predicted=0.3800
loss=0.0272, Monte Carlo price=0.3709, predicted=0.3770
loss=0.0230, Monte Carlo price=0.3670, predicted=0.3832
loss=0.0284, Monte Carlo price=0.3750, predicted=0.3822
loss=0.0218, Monte Carlo price=0.3779, predicted=0.3820
loss=0.0260, Monte Carlo price=0.3733, predicted=0.3882
loss=0.0232, Monte Carlo price=0.3731, predicted=0.3834
loss=0.0204, Monte Carlo price=0.3747, predicted=0.3829
loss=0.0210, Monte Carlo price=0.3744, predicted=0.3849
loss=0.0202, Monte Carlo price=0.3744, predicted=0.3796
loss=0.0254, Monte Carlo price=0.3763, predicted=0.3877
loss=0.0249, Monte Carlo price=0.3646, predicted=0.3891
loss=0.0189, Monte Carlo price=0.3700, predicted=0.3808
loss=0.0265, Monte Carlo price=0.3716, predicted=0.3820
loss=0.0199, Monte Carlo price=0.3738, predicted=0.3822
loss=0.0195, Monte Carlo price=0.3668, predicted=0.3773
loss=0.0186, Monte Carlo price=0.3705, predicted=0.3831
loss=0.0183, Monte Carlo price=0.3699, predicted=0.3806
loss=0.0190, Monte Carlo price=0.3766, predicted=0.3832
loss=0.0197, Monte Carlo price=0.3716, predicted=0.3840
loss=0.0180, Monte Carlo price=0.3708, predicted=0.3859
loss=0.0209, Monte Carlo price=0.3695, predicted=0.3789
loss=0.0173, Monte Carlo price=0.3754, predicted=0.3855
loss=0.0172, Monte Carlo price=0.3640, predicted=0.3836
loss=0.0173, Monte Carlo price=0.3751, predicted=0.3805
loss=0.0170, Monte Carlo price=0.3670, predicted=0.3863
loss=0.0176, Monte Carlo price=0.3692, predicted=0.3872
loss=0.0170, Monte Carlo price=0.3762, predicted=0.3804
loss=0.0170, Monte Carlo price=0.3691, predicted=0.3808
loss=0.0171, Monte Carlo price=0.3634, predicted=0.3847
loss=0.0181, Monte Carlo price=0.3736, predicted=0.3864
loss=0.0172, Monte Carlo price=0.3676, predicted=0.3810
loss=0.0234, Monte Carlo price=0.3731, predicted=0.3760
loss=0.0167, Monte Carlo price=0.3684, predicted=0.3801
loss=0.0160, Monte Carlo price=0.3719, predicted=0.3831
loss=0.0190, Monte Carlo price=0.3712, predicted=0.3858
loss=0.0160, Monte Carlo price=0.3745, predicted=0.3810
loss=0.0164, Monte Carlo price=0.3764, predicted=0.3884
loss=0.0179, Monte Carlo price=0.3737, predicted=0.3823
loss=0.0159, Monte Carlo price=0.3749, predicted=0.3832
loss=0.0157, Monte Carlo price=0.3725, predicted=0.3781
loss=0.0181, Monte Carlo price=0.3686, predicted=0.3869
loss=0.0161, Monte Carlo price=0.3742, predicted=0.3823
loss=0.0186, Monte Carlo price=0.3675, predicted=0.3844
loss=0.0161, Monte Carlo price=0.3769, predicted=0.3798
loss=0.0172, Monte Carlo price=0.3738, predicted=0.3830
loss=0.0156, Monte Carlo price=0.3781, predicted=0.3884
loss=0.0201, Monte Carlo price=0.3796, predicted=0.3853
loss=0.0168, Monte Carlo price=0.3757, predicted=0.3827
loss=0.0163, Monte Carlo price=0.3775, predicted=0.3744
loss=0.0161, Monte Carlo price=0.3681, predicted=0.3868
loss=0.0163, Monte Carlo price=0.3668, predicted=0.3829
loss=0.0159, Monte Carlo price=0.3681, predicted=0.3830
loss=0.0156, Monte Carlo price=0.3709, predicted=0.3818
loss=0.0155, Monte Carlo price=0.3709, predicted=0.3840
loss=0.0192, Monte Carlo price=0.3765, predicted=0.3871
loss=0.0160, Monte Carlo price=0.3724, predicted=0.3826
loss=0.0160, Monte Carlo price=0.3827, predicted=0.3812
loss=0.0168, Monte Carlo price=0.3727, predicted=0.3826
loss=0.0148, Monte Carlo price=0.3671, predicted=0.3817
loss=0.0155, Monte Carlo price=0.3705, predicted=0.3805
loss=0.0159, Monte Carlo price=0.3775, predicted=0.3771
loss=0.0155, Monte Carlo price=0.3694, predicted=0.3839
loss=0.0156, Monte Carlo price=0.3686, predicted=0.3838
loss=0.0161, Monte Carlo price=0.3707, predicted=0.3853
loss=0.0163, Monte Carlo price=0.3651, predicted=0.3856
loss=0.0168, Monte Carlo price=0.3696, predicted=0.3861
loss=0.0196, Monte Carlo price=0.3775, predicted=0.3767
loss=0.0153, Monte Carlo price=0.3716, predicted=0.3821
loss=0.0181, Monte Carlo price=0.3711, predicted=0.3804
loss=0.0157, Monte Carlo price=0.3776, predicted=0.3800
loss=0.0155, Monte Carlo price=0.3713, predicted=0.3790
loss=0.0183, Monte Carlo price=0.3729, predicted=0.3799
loss=0.0156, Monte Carlo price=0.3747, predicted=0.3772
loss=0.0153, Monte Carlo price=0.3735, predicted=0.3775
loss=0.0157, Monte Carlo price=0.3739, predicted=0.3829
loss=0.0155, Monte Carlo price=0.3675, predicted=0.3768
loss=0.0151, Monte Carlo price=0.3681, predicted=0.3779
loss=0.0176, Monte Carlo price=0.3677, predicted=0.3830
loss=0.0155, Monte Carlo price=0.3782, predicted=0.3772
loss=0.0164, Monte Carlo price=0.3784, predicted=0.3789
loss=0.0194, Monte Carlo price=0.3708, predicted=0.3829
loss=0.0155, Monte Carlo price=0.3696, predicted=0.3772
loss=0.0155, Monte Carlo price=0.3745, predicted=0.3764
loss=0.0161, Monte Carlo price=0.3692, predicted=0.3768
loss=0.0159, Monte Carlo price=0.3700, predicted=0.3797
loss=0.0150, Monte Carlo price=0.3708, predicted=0.3795
loss=0.0152, Monte Carlo price=0.3756, predicted=0.3781
loss=0.0156, Monte Carlo price=0.3702, predicted=0.3753
loss=0.0152, Monte Carlo price=0.3657, predicted=0.3797
loss=0.0166, Monte Carlo price=0.3673, predicted=0.3749
loss=0.0159, Monte Carlo price=0.3745, predicted=0.3864
loss=0.0152, Monte Carlo price=0.3692, predicted=0.3773
loss=0.0185, Monte Carlo price=0.3680, predicted=0.3819
loss=0.0156, Monte Carlo price=0.3727, predicted=0.3805
loss=0.0157, Monte Carlo price=0.3717, predicted=0.3749
loss=0.0164, Monte Carlo price=0.3706, predicted=0.3798
loss=0.0215, Monte Carlo price=0.3722, predicted=0.3730
loss=0.0166, Monte Carlo price=0.3700, predicted=0.3744
loss=0.0154, Monte Carlo price=0.3738, predicted=0.3793
loss=0.0160, Monte Carlo price=0.3671, predicted=0.3812
loss=0.0198, Monte Carlo price=0.3742, predicted=0.3779
loss=0.0154, Monte Carlo price=0.3675, predicted=0.3806
loss=0.0160, Monte Carlo price=0.3729, predicted=0.3820
loss=0.0150, Monte Carlo price=0.3728, predicted=0.3802
loss=0.0164, Monte Carlo price=0.3780, predicted=0.3839
loss=0.0154, Monte Carlo price=0.3798, predicted=0.3815
loss=0.0158, Monte Carlo price=0.3729, predicted=0.3783
loss=0.0156, Monte Carlo price=0.3744, predicted=0.3767
loss=0.0149, Monte Carlo price=0.3717, predicted=0.3818
loss=0.0159, Monte Carlo price=0.3685, predicted=0.3814
loss=0.0155, Monte Carlo price=0.3790, predicted=0.3752
loss=0.0151, Monte Carlo price=0.3734, predicted=0.3800
loss=0.0163, Monte Carlo price=0.3748, predicted=0.3768
loss=0.0182, Monte Carlo price=0.3733, predicted=0.3789
loss=0.0160, Monte Carlo price=0.3748, predicted=0.3716
loss=0.0207, Monte Carlo price=0.3741, predicted=0.3772
loss=0.0150, Monte Carlo price=0.3683, predicted=0.3809
loss=0.0167, Monte Carlo price=0.3720, predicted=0.3778
loss=0.0169, Monte Carlo price=0.3768, predicted=0.3777
