loss=0.3768, MC price=0.0130, predicted=0.6494
loss=0.2504, MC price=0.0141, predicted=0.6026
loss=0.0910, MC price=0.0144, predicted=0.5489
loss=0.0464, MC price=0.0136, predicted=0.5020
loss=0.0338, MC price=0.0150, predicted=0.4591
loss=0.0294, MC price=0.0138, predicted=0.4218
loss=0.0273, MC price=0.0135, predicted=0.3887
loss=0.0263, MC price=0.0147, predicted=0.3592
loss=0.0247, MC price=0.0129, predicted=0.3327
loss=0.0234, MC price=0.0125, predicted=0.3088
loss=0.0231, MC price=0.0159, predicted=0.2871
loss=0.0219, MC price=0.0153, predicted=0.2675
loss=0.0202, MC price=0.0141, predicted=0.2496
loss=0.0183, MC price=0.0126, predicted=0.2332
loss=0.0174, MC price=0.0128, predicted=0.2183
loss=0.0167, MC price=0.0139, predicted=0.2046
loss=0.0156, MC price=0.0140, predicted=0.1921
loss=0.0145, MC price=0.0138, predicted=0.1806
loss=0.0132, MC price=0.0131, predicted=0.1700
loss=0.0132, MC price=0.0143, predicted=0.1602
loss=0.0122, MC price=0.0136, predicted=0.1512
loss=0.0116, MC price=0.0145, predicted=0.1429
loss=0.0109, MC price=0.0143, predicted=0.1351
loss=0.0101, MC price=0.0142, predicted=0.1280
loss=0.0094, MC price=0.0131, predicted=0.1213
loss=0.0091, MC price=0.0140, predicted=0.1150
loss=0.0085, MC price=0.0135, predicted=0.1092
loss=0.0081, MC price=0.0134, predicted=0.1038
loss=0.0079, MC price=0.0141, predicted=0.0988
loss=0.0079, MC price=0.0147, predicted=0.0940
loss=0.0069, MC price=0.0133, predicted=0.0896
loss=0.0070, MC price=0.0144, predicted=0.0854
loss=0.0064, MC price=0.0128, predicted=0.0815
loss=0.0064, MC price=0.0147, predicted=0.0778
loss=0.0061, MC price=0.0139, predicted=0.0744
loss=0.0058, MC price=0.0135, predicted=0.0711
loss=0.0056, MC price=0.0138, predicted=0.0680
loss=0.0057, MC price=0.0144, predicted=0.0651
loss=0.0057, MC price=0.0148, predicted=0.0624
loss=0.0054, MC price=0.0146, predicted=0.0597
loss=0.0053, MC price=0.0152, predicted=0.0573
loss=0.0051, MC price=0.0149, predicted=0.0549
loss=0.0054, MC price=0.0154, predicted=0.0527
loss=0.0045, MC price=0.0139, predicted=0.0506
loss=0.0045, MC price=0.0145, predicted=0.0486
loss=0.0042, MC price=0.0133, predicted=0.0467
loss=0.0044, MC price=0.0140, predicted=0.0448
loss=0.0044, MC price=0.0148, predicted=0.0431
loss=0.0041, MC price=0.0138, predicted=0.0415
loss=0.0043, MC price=0.0152, predicted=0.0399
loss=0.0043, MC price=0.0147, predicted=0.0384
loss=0.0037, MC price=0.0131, predicted=0.0370
loss=0.0039, MC price=0.0141, predicted=0.0356
loss=0.0040, MC price=0.0140, predicted=0.0343
loss=0.0036, MC price=0.0134, predicted=0.0330
loss=0.0034, MC price=0.0128, predicted=0.0318
loss=0.0036, MC price=0.0133, predicted=0.0307
loss=0.0035, MC price=0.0140, predicted=0.0296
loss=0.0039, MC price=0.0139, predicted=0.0285
loss=0.0036, MC price=0.0140, predicted=0.0275
loss=0.0037, MC price=0.0145, predicted=0.0265
loss=0.0038, MC price=0.0146, predicted=0.0256
loss=0.0041, MC price=0.0144, predicted=0.0247
loss=0.0037, MC price=0.0149, predicted=0.0239
loss=0.0034, MC price=0.0136, predicted=0.0231
loss=0.0034, MC price=0.0132, predicted=0.0223
loss=0.0036, MC price=0.0144, predicted=0.0215
loss=0.0037, MC price=0.0143, predicted=0.0208
loss=0.0033, MC price=0.0138, predicted=0.0201
