loss=0.3792, MC price=0.0100, predicted=0.6495
loss=0.2520, MC price=0.0109, predicted=0.6026
loss=0.0912, MC price=0.0111, predicted=0.5490
loss=0.0458, MC price=0.0116, predicted=0.5022
loss=0.0332, MC price=0.0111, predicted=0.4593
loss=0.0287, MC price=0.0114, predicted=0.4221
loss=0.0266, MC price=0.0120, predicted=0.3891
loss=0.0251, MC price=0.0103, predicted=0.3596
loss=0.0238, MC price=0.0111, predicted=0.3331
loss=0.0227, MC price=0.0112, predicted=0.3091
loss=0.0213, MC price=0.0109, predicted=0.2875
loss=0.0202, MC price=0.0112, predicted=0.2678
loss=0.0188, MC price=0.0102, predicted=0.2499
loss=0.0178, MC price=0.0116, predicted=0.2336
loss=0.0167, MC price=0.0121, predicted=0.2187
loss=0.0153, MC price=0.0107, predicted=0.2050
loss=0.0146, MC price=0.0118, predicted=0.1925
loss=0.0135, MC price=0.0115, predicted=0.1809
loss=0.0129, MC price=0.0123, predicted=0.1703
loss=0.0116, MC price=0.0106, predicted=0.1606
loss=0.0109, MC price=0.0111, predicted=0.1515
loss=0.0101, MC price=0.0107, predicted=0.1432
loss=0.0095, MC price=0.0112, predicted=0.1354
loss=0.0089, MC price=0.0107, predicted=0.1282
loss=0.0082, MC price=0.0109, predicted=0.1216
loss=0.0079, MC price=0.0110, predicted=0.1153
loss=0.0073, MC price=0.0107, predicted=0.1095
loss=0.0068, MC price=0.0106, predicted=0.1041
loss=0.0065, MC price=0.0109, predicted=0.0990
loss=0.0062, MC price=0.0114, predicted=0.0942
loss=0.0060, MC price=0.0120, predicted=0.0898
loss=0.0056, MC price=0.0114, predicted=0.0856
loss=0.0052, MC price=0.0108, predicted=0.0817
loss=0.0051, MC price=0.0119, predicted=0.0780
loss=0.0049, MC price=0.0121, predicted=0.0745
loss=0.0044, MC price=0.0107, predicted=0.0713
loss=0.0045, MC price=0.0122, predicted=0.0682
loss=0.0041, MC price=0.0108, predicted=0.0653
loss=0.0039, MC price=0.0107, predicted=0.0625
loss=0.0038, MC price=0.0110, predicted=0.0599
loss=0.0037, MC price=0.0110, predicted=0.0574
loss=0.0036, MC price=0.0115, predicted=0.0550
loss=0.0035, MC price=0.0118, predicted=0.0528
loss=0.0033, MC price=0.0112, predicted=0.0507
loss=0.0032, MC price=0.0113, predicted=0.0487
loss=0.0032, MC price=0.0114, predicted=0.0468
loss=0.0030, MC price=0.0112, predicted=0.0449
loss=0.0029, MC price=0.0110, predicted=0.0432
loss=0.0026, MC price=0.0102, predicted=0.0416
loss=0.0026, MC price=0.0101, predicted=0.0400
loss=0.0027, MC price=0.0116, predicted=0.0385
loss=0.0027, MC price=0.0113, predicted=0.0370
loss=0.0025, MC price=0.0110, predicted=0.0357
loss=0.0025, MC price=0.0109, predicted=0.0343
loss=0.0024, MC price=0.0108, predicted=0.0331
loss=0.0022, MC price=0.0102, predicted=0.0319
loss=0.0022, MC price=0.0101, predicted=0.0307
loss=0.0025, MC price=0.0118, predicted=0.0296
loss=0.0022, MC price=0.0110, predicted=0.0286
loss=0.0022, MC price=0.0111, predicted=0.0276
loss=0.0021, MC price=0.0102, predicted=0.0266
loss=0.0022, MC price=0.0110, predicted=0.0257
loss=0.0023, MC price=0.0122, predicted=0.0248
loss=0.0021, MC price=0.0107, predicted=0.0239
loss=0.0022, MC price=0.0113, predicted=0.0231
loss=0.0020, MC price=0.0114, predicted=0.0223
loss=0.0020, MC price=0.0112, predicted=0.0216
loss=0.0022, MC price=0.0117, predicted=0.0208
loss=0.0019, MC price=0.0110, predicted=0.0201
loss=0.0019, MC price=0.0108, predicted=0.0195
loss=0.0022, MC price=0.0119, predicted=0.0188
loss=0.0020, MC price=0.0113, predicted=0.0182
loss=0.0018, MC price=0.0105, predicted=0.0176
loss=0.0018, MC price=0.0104, predicted=0.0170
loss=0.0019, MC price=0.0109, predicted=0.0165
loss=0.0019, MC price=0.0110, predicted=0.0159
loss=0.0019, MC price=0.0112, predicted=0.0154
loss=0.0017, MC price=0.0103, predicted=0.0149
loss=0.0019, MC price=0.0110, predicted=0.0144
loss=0.0020, MC price=0.0117, predicted=0.0139
loss=0.0017, MC price=0.0106, predicted=0.0135
loss=0.0019, MC price=0.0111, predicted=0.0131
loss=0.0019, MC price=0.0116, predicted=0.0126
loss=0.0018, MC price=0.0109, predicted=0.0122
loss=0.0020, MC price=0.0113, predicted=0.0118
loss=0.0019, MC price=0.0114, predicted=0.0115
loss=0.0019, MC price=0.0112, predicted=0.0111
loss=0.0016, MC price=0.0104, predicted=0.0108
loss=0.0018, MC price=0.0114, predicted=0.0104
loss=0.0020, MC price=0.0120, predicted=0.0101
loss=0.0017, MC price=0.0110, predicted=0.0098
loss=0.0017, MC price=0.0109, predicted=0.0095
loss=0.0018, MC price=0.0109, predicted=0.0092
loss=0.0017, MC price=0.0111, predicted=0.0089
loss=0.0018, MC price=0.0113, predicted=0.0086
loss=0.0020, MC price=0.0119, predicted=0.0084
loss=0.0018, MC price=0.0112, predicted=0.0081
loss=0.0018, MC price=0.0112, predicted=0.0079
loss=0.0018, MC price=0.0111, predicted=0.0076
loss=0.0017, MC price=0.0109, predicted=0.0074
loss=0.0016, MC price=0.0103, predicted=0.0072
loss=0.0017, MC price=0.0106, predicted=0.0069
loss=0.0016, MC price=0.0106, predicted=0.0067
loss=0.0018, MC price=0.0114, predicted=0.0065
loss=0.0018, MC price=0.0112, predicted=0.0063
loss=0.0019, MC price=0.0117, predicted=0.0061
loss=0.0017, MC price=0.0110, predicted=0.0060
loss=0.0017, MC price=0.0114, predicted=0.0058
loss=0.0016, MC price=0.0105, predicted=0.0056
loss=0.0018, MC price=0.0110, predicted=0.0054
loss=0.0020, MC price=0.0121, predicted=0.0053
loss=0.0018, MC price=0.0114, predicted=0.0051
loss=0.0017, MC price=0.0115, predicted=0.0050
loss=0.0017, MC price=0.0109, predicted=0.0048
loss=0.0018, MC price=0.0113, predicted=0.0047
loss=0.0018, MC price=0.0114, predicted=0.0045
loss=0.0017, MC price=0.0109, predicted=0.0044
loss=0.0017, MC price=0.0105, predicted=0.0043
loss=0.0018, MC price=0.0111, predicted=0.0041
loss=0.0019, MC price=0.0119, predicted=0.0040
loss=0.0018, MC price=0.0111, predicted=0.0039
loss=0.0016, MC price=0.0107, predicted=0.0038
loss=0.0015, MC price=0.0100, predicted=0.0037
loss=0.0017, MC price=0.0110, predicted=0.0036
loss=0.0018, MC price=0.0113, predicted=0.0035
loss=0.0018, MC price=0.0109, predicted=0.0034
loss=0.0016, MC price=0.0107, predicted=0.0033
loss=0.0018, MC price=0.0118, predicted=0.0032
loss=0.0018, MC price=0.0114, predicted=0.0031
loss=0.0017, MC price=0.0110, predicted=0.0030
loss=0.0019, MC price=0.0116, predicted=0.0029
loss=0.0018, MC price=0.0110, predicted=0.0028
loss=0.0019, MC price=0.0115, predicted=0.0027
loss=0.0017, MC price=0.0108, predicted=0.0027
loss=0.0018, MC price=0.0111, predicted=0.0026
loss=0.0019, MC price=0.0117, predicted=0.0025
loss=0.0016, MC price=0.0111, predicted=0.0024
loss=0.0016, MC price=0.0105, predicted=0.0024
loss=0.0019, MC price=0.0116, predicted=0.0023
loss=0.0018, MC price=0.0112, predicted=0.0022
loss=0.0016, MC price=0.0106, predicted=0.0022
loss=0.0016, MC price=0.0109, predicted=0.0021
loss=0.0019, MC price=0.0116, predicted=0.0020
loss=0.0019, MC price=0.0121, predicted=0.0020
loss=0.0017, MC price=0.0113, predicted=0.0019
loss=0.0018, MC price=0.0112, predicted=0.0019
loss=0.0018, MC price=0.0112, predicted=0.0018
loss=0.0017, MC price=0.0110, predicted=0.0018
loss=0.0017, MC price=0.0104, predicted=0.0017
loss=0.0016, MC price=0.0108, predicted=0.0017
loss=0.0017, MC price=0.0111, predicted=0.0016
loss=0.0017, MC price=0.0109, predicted=0.0016
loss=0.0019, MC price=0.0118, predicted=0.0015
loss=0.0018, MC price=0.0116, predicted=0.0015
loss=0.0017, MC price=0.0113, predicted=0.0014
loss=0.0016, MC price=0.0103, predicted=0.0014
loss=0.0017, MC price=0.0117, predicted=0.0014
loss=0.0017, MC price=0.0109, predicted=0.0013
loss=0.0018, MC price=0.0110, predicted=0.0013
loss=0.0016, MC price=0.0104, predicted=0.0013
loss=0.0019, MC price=0.0118, predicted=0.0012
loss=0.0017, MC price=0.0109, predicted=0.0012
loss=0.0016, MC price=0.0101, predicted=0.0012
loss=0.0016, MC price=0.0106, predicted=0.0011
loss=0.0018, MC price=0.0120, predicted=0.0011
loss=0.0018, MC price=0.0115, predicted=0.0011
loss=0.0018, MC price=0.0114, predicted=0.0010
loss=0.0019, MC price=0.0120, predicted=0.0010
loss=0.0018, MC price=0.0115, predicted=0.0010
loss=0.0016, MC price=0.0105, predicted=0.0009
loss=0.0017, MC price=0.0109, predicted=0.0009
loss=0.0020, MC price=0.0119, predicted=0.0009
loss=0.0017, MC price=0.0113, predicted=0.0009
loss=0.0018, MC price=0.0108, predicted=0.0008
loss=0.0016, MC price=0.0112, predicted=0.0008
loss=0.0018, MC price=0.0118, predicted=0.0008
loss=0.0017, MC price=0.0111, predicted=0.0008
loss=0.0016, MC price=0.0104, predicted=0.0008
loss=0.0018, MC price=0.0116, predicted=0.0007
loss=0.0017, MC price=0.0111, predicted=0.0007
loss=0.0016, MC price=0.0107, predicted=0.0007
loss=0.0019, MC price=0.0120, predicted=0.0007
loss=0.0019, MC price=0.0120, predicted=0.0007
loss=0.0018, MC price=0.0116, predicted=0.0006
loss=0.0017, MC price=0.0105, predicted=0.0006
loss=0.0015, MC price=0.0106, predicted=0.0006
loss=0.0016, MC price=0.0106, predicted=0.0006
loss=0.0017, MC price=0.0112, predicted=0.0006
loss=0.0018, MC price=0.0116, predicted=0.0006
loss=0.0017, MC price=0.0108, predicted=0.0005
loss=0.0016, MC price=0.0101, predicted=0.0005
loss=0.0016, MC price=0.0107, predicted=0.0005
loss=0.0016, MC price=0.0104, predicted=0.0005
loss=0.0018, MC price=0.0113, predicted=0.0005
loss=0.0018, MC price=0.0114, predicted=0.0005
loss=0.0017, MC price=0.0110, predicted=0.0005
loss=0.0019, MC price=0.0118, predicted=0.0004
loss=0.0016, MC price=0.0111, predicted=0.0004
loss=0.0019, MC price=0.0118, predicted=0.0004
loss=0.0017, MC price=0.0110, predicted=0.0004
loss=0.0020, MC price=0.0118, predicted=0.0004
loss=0.0016, MC price=0.0105, predicted=0.0004
loss=0.0017, MC price=0.0113, predicted=0.0004
loss=0.0017, MC price=0.0107, predicted=0.0004
loss=0.0018, MC price=0.0115, predicted=0.0004
loss=0.0018, MC price=0.0114, predicted=0.0003
loss=0.0018, MC price=0.0114, predicted=0.0003
loss=0.0016, MC price=0.0107, predicted=0.0003
loss=0.0017, MC price=0.0113, predicted=0.0003
loss=0.0019, MC price=0.0117, predicted=0.0003
loss=0.0018, MC price=0.0110, predicted=0.0003
loss=0.0016, MC price=0.0105, predicted=0.0003
loss=0.0016, MC price=0.0102, predicted=0.0003
loss=0.0017, MC price=0.0114, predicted=0.0003
loss=0.0018, MC price=0.0115, predicted=0.0003
loss=0.0019, MC price=0.0116, predicted=0.0003
loss=0.0018, MC price=0.0111, predicted=0.0003
loss=0.0015, MC price=0.0103, predicted=0.0003
loss=0.0019, MC price=0.0120, predicted=0.0002
loss=0.0015, MC price=0.0103, predicted=0.0002
loss=0.0015, MC price=0.0105, predicted=0.0002
loss=0.0017, MC price=0.0109, predicted=0.0002
loss=0.0018, MC price=0.0115, predicted=0.0002
loss=0.0014, MC price=0.0100, predicted=0.0002
loss=0.0020, MC price=0.0121, predicted=0.0002
loss=0.0017, MC price=0.0109, predicted=0.0002
loss=0.0016, MC price=0.0111, predicted=0.0002
loss=0.0016, MC price=0.0107, predicted=0.0002
loss=0.0019, MC price=0.0118, predicted=0.0002
loss=0.0017, MC price=0.0110, predicted=0.0002
