loss=0.3416, MC price=0.0455, predicted=0.6495
loss=0.2246, MC price=0.0446, predicted=0.6027
loss=0.0796, MC price=0.0433, predicted=0.5496
loss=0.0413, MC price=0.0477, predicted=0.5028
loss=0.0330, MC price=0.0446, predicted=0.4598
loss=0.0301, MC price=0.0424, predicted=0.4225
loss=0.0300, MC price=0.0452, predicted=0.3893
loss=0.0297, MC price=0.0439, predicted=0.3596
loss=0.0291, MC price=0.0448, predicted=0.3329
loss=0.0287, MC price=0.0459, predicted=0.3087
loss=0.0270, MC price=0.0425, predicted=0.2869
loss=0.0265, MC price=0.0442, predicted=0.2670
loss=0.0256, MC price=0.0454, predicted=0.2490
loss=0.0246, MC price=0.0449, predicted=0.2325
loss=0.0236, MC price=0.0447, predicted=0.2175
loss=0.0223, MC price=0.0428, predicted=0.2037
loss=0.0213, MC price=0.0436, predicted=0.1912
loss=0.0210, MC price=0.0443, predicted=0.1796
loss=0.0199, MC price=0.0440, predicted=0.1689
loss=0.0196, MC price=0.0462, predicted=0.1592
loss=0.0185, MC price=0.0448, predicted=0.1501
loss=0.0175, MC price=0.0436, predicted=0.1417
loss=0.0171, MC price=0.0446, predicted=0.1340
loss=0.0166, MC price=0.0441, predicted=0.1268
loss=0.0157, MC price=0.0428, predicted=0.1202
loss=0.0149, MC price=0.0422, predicted=0.1140
loss=0.0151, MC price=0.0439, predicted=0.1082
loss=0.0151, MC price=0.0456, predicted=0.1028
loss=0.0141, MC price=0.0434, predicted=0.0977
loss=0.0140, MC price=0.0441, predicted=0.0930
loss=0.0138, MC price=0.0443, predicted=0.0886
loss=0.0136, MC price=0.0449, predicted=0.0845
loss=0.0136, MC price=0.0451, predicted=0.0806
loss=0.0125, MC price=0.0428, predicted=0.0769
loss=0.0120, MC price=0.0413, predicted=0.0735
loss=0.0129, MC price=0.0453, predicted=0.0703
loss=0.0124, MC price=0.0458, predicted=0.0672
loss=0.0122, MC price=0.0442, predicted=0.0643
loss=0.0116, MC price=0.0435, predicted=0.0616
loss=0.0120, MC price=0.0451, predicted=0.0590
loss=0.0116, MC price=0.0444, predicted=0.0566
loss=0.0116, MC price=0.0440, predicted=0.0542
loss=0.0119, MC price=0.0456, predicted=0.0520
loss=0.0111, MC price=0.0431, predicted=0.0499
loss=0.0112, MC price=0.0449, predicted=0.0480
loss=0.0111, MC price=0.0445, predicted=0.0461
loss=0.0111, MC price=0.0452, predicted=0.0443
loss=0.0108, MC price=0.0439, predicted=0.0426
loss=0.0111, MC price=0.0450, predicted=0.0409
loss=0.0111, MC price=0.0446, predicted=0.0394
loss=0.0107, MC price=0.0437, predicted=0.0379
loss=0.0105, MC price=0.0446, predicted=0.0365
loss=0.0107, MC price=0.0440, predicted=0.0352
loss=0.0105, MC price=0.0445, predicted=0.0339
loss=0.0109, MC price=0.0456, predicted=0.0326
loss=0.0113, MC price=0.0468, predicted=0.0314
loss=0.0106, MC price=0.0451, predicted=0.0303
loss=0.0101, MC price=0.0427, predicted=0.0292
loss=0.0105, MC price=0.0440, predicted=0.0282
loss=0.0102, MC price=0.0442, predicted=0.0272
loss=0.0105, MC price=0.0452, predicted=0.0263
loss=0.0106, MC price=0.0454, predicted=0.0253
loss=0.0099, MC price=0.0436, predicted=0.0245
loss=0.0098, MC price=0.0425, predicted=0.0236
loss=0.0106, MC price=0.0459, predicted=0.0228
loss=0.0110, MC price=0.0470, predicted=0.0221
loss=0.0101, MC price=0.0440, predicted=0.0213
loss=0.0105, MC price=0.0451, predicted=0.0206
loss=0.0100, MC price=0.0440, predicted=0.0199
loss=0.0104, MC price=0.0452, predicted=0.0192
loss=0.0105, MC price=0.0450, predicted=0.0186
loss=0.0105, MC price=0.0464, predicted=0.0180
loss=0.0100, MC price=0.0440, predicted=0.0174
loss=0.0105, MC price=0.0457, predicted=0.0168
loss=0.0101, MC price=0.0444, predicted=0.0163
loss=0.0102, MC price=0.0444, predicted=0.0158
loss=0.0098, MC price=0.0431, predicted=0.0153
loss=0.0107, MC price=0.0469, predicted=0.0148
loss=0.0097, MC price=0.0425, predicted=0.0143
loss=0.0099, MC price=0.0439, predicted=0.0138
loss=0.0105, MC price=0.0460, predicted=0.0134
loss=0.0099, MC price=0.0448, predicted=0.0130
loss=0.0101, MC price=0.0447, predicted=0.0126
loss=0.0104, MC price=0.0456, predicted=0.0122
loss=0.0105, MC price=0.0462, predicted=0.0118
loss=0.0099, MC price=0.0437, predicted=0.0114
loss=0.0098, MC price=0.0443, predicted=0.0111
loss=0.0100, MC price=0.0445, predicted=0.0107
loss=0.0106, MC price=0.0463, predicted=0.0104
loss=0.0103, MC price=0.0452, predicted=0.0101
loss=0.0100, MC price=0.0440, predicted=0.0097
loss=0.0098, MC price=0.0443, predicted=0.0095
loss=0.0105, MC price=0.0458, predicted=0.0092
loss=0.0103, MC price=0.0453, predicted=0.0089
loss=0.0105, MC price=0.0465, predicted=0.0086
loss=0.0098, MC price=0.0440, predicted=0.0083
loss=0.0101, MC price=0.0447, predicted=0.0081
loss=0.0097, MC price=0.0431, predicted=0.0079
loss=0.0095, MC price=0.0433, predicted=0.0076
loss=0.0097, MC price=0.0433, predicted=0.0074
loss=0.0103, MC price=0.0451, predicted=0.0072
loss=0.0097, MC price=0.0438, predicted=0.0070
loss=0.0098, MC price=0.0443, predicted=0.0067
loss=0.0098, MC price=0.0441, predicted=0.0065
loss=0.0100, MC price=0.0439, predicted=0.0064
loss=0.0102, MC price=0.0449, predicted=0.0062
loss=0.0103, MC price=0.0451, predicted=0.0060
loss=0.0100, MC price=0.0449, predicted=0.0058
loss=0.0095, MC price=0.0437, predicted=0.0056
loss=0.0104, MC price=0.0454, predicted=0.0055
loss=0.0095, MC price=0.0425, predicted=0.0053
loss=0.0096, MC price=0.0431, predicted=0.0052
loss=0.0096, MC price=0.0432, predicted=0.0050
loss=0.0102, MC price=0.0451, predicted=0.0049
loss=0.0101, MC price=0.0454, predicted=0.0047
loss=0.0095, MC price=0.0424, predicted=0.0046
loss=0.0102, MC price=0.0451, predicted=0.0045
loss=0.0103, MC price=0.0458, predicted=0.0043
loss=0.0101, MC price=0.0447, predicted=0.0042
loss=0.0098, MC price=0.0445, predicted=0.0041
loss=0.0100, MC price=0.0445, predicted=0.0040
loss=0.0105, MC price=0.0468, predicted=0.0038
loss=0.0104, MC price=0.0454, predicted=0.0037
loss=0.0097, MC price=0.0438, predicted=0.0036
loss=0.0095, MC price=0.0427, predicted=0.0035
loss=0.0101, MC price=0.0443, predicted=0.0034
loss=0.0100, MC price=0.0453, predicted=0.0033
loss=0.0097, MC price=0.0438, predicted=0.0032
loss=0.0098, MC price=0.0442, predicted=0.0032
loss=0.0097, MC price=0.0428, predicted=0.0031
loss=0.0097, MC price=0.0436, predicted=0.0030
loss=0.0101, MC price=0.0450, predicted=0.0029
loss=0.0098, MC price=0.0437, predicted=0.0028
loss=0.0098, MC price=0.0446, predicted=0.0027
loss=0.0098, MC price=0.0438, predicted=0.0027
loss=0.0105, MC price=0.0461, predicted=0.0026
loss=0.0099, MC price=0.0432, predicted=0.0025
loss=0.0099, MC price=0.0450, predicted=0.0025
loss=0.0098, MC price=0.0442, predicted=0.0024
loss=0.0100, MC price=0.0444, predicted=0.0023
loss=0.0098, MC price=0.0444, predicted=0.0023
loss=0.0098, MC price=0.0444, predicted=0.0022
loss=0.0102, MC price=0.0455, predicted=0.0021
loss=0.0095, MC price=0.0432, predicted=0.0021
loss=0.0101, MC price=0.0457, predicted=0.0020
loss=0.0092, MC price=0.0414, predicted=0.0020
loss=0.0093, MC price=0.0422, predicted=0.0019
loss=0.0097, MC price=0.0438, predicted=0.0019
loss=0.0095, MC price=0.0429, predicted=0.0018
loss=0.0097, MC price=0.0435, predicted=0.0018
loss=0.0108, MC price=0.0469, predicted=0.0017
loss=0.0101, MC price=0.0454, predicted=0.0017
loss=0.0095, MC price=0.0429, predicted=0.0017
loss=0.0101, MC price=0.0454, predicted=0.0016
loss=0.0101, MC price=0.0452, predicted=0.0016
loss=0.0106, MC price=0.0463, predicted=0.0015
loss=0.0097, MC price=0.0432, predicted=0.0015
loss=0.0102, MC price=0.0456, predicted=0.0015
loss=0.0096, MC price=0.0427, predicted=0.0014
loss=0.0105, MC price=0.0464, predicted=0.0014
loss=0.0102, MC price=0.0455, predicted=0.0014
loss=0.0099, MC price=0.0445, predicted=0.0014
loss=0.0100, MC price=0.0455, predicted=0.0013
loss=0.0100, MC price=0.0439, predicted=0.0013
loss=0.0103, MC price=0.0452, predicted=0.0013
loss=0.0103, MC price=0.0455, predicted=0.0013
loss=0.0097, MC price=0.0435, predicted=0.0013
loss=0.0100, MC price=0.0448, predicted=0.0013
loss=0.0097, MC price=0.0447, predicted=0.0013
loss=0.0101, MC price=0.0454, predicted=0.0013
loss=0.0105, MC price=0.0460, predicted=0.0014
loss=0.0098, MC price=0.0443, predicted=0.0014
loss=0.0102, MC price=0.0461, predicted=0.0016
loss=0.0102, MC price=0.0458, predicted=0.0022
loss=0.0099, MC price=0.0454, predicted=0.0046
loss=0.0090, MC price=0.0450, predicted=0.0149
loss=0.0075, MC price=0.0428, predicted=0.0363
loss=0.0080, MC price=0.0457, predicted=0.0463
loss=0.0077, MC price=0.0448, predicted=0.0463
loss=0.0073, MC price=0.0415, predicted=0.0492
loss=0.0076, MC price=0.0433, predicted=0.0482
loss=0.0076, MC price=0.0439, predicted=0.0488
loss=0.0076, MC price=0.0436, predicted=0.0484
loss=0.0075, MC price=0.0432, predicted=0.0486
loss=0.0083, MC price=0.0483, predicted=0.0463
loss=0.0075, MC price=0.0440, predicted=0.0474
loss=0.0082, MC price=0.0477, predicted=0.0483
loss=0.0080, MC price=0.0460, predicted=0.0471
loss=0.0075, MC price=0.0431, predicted=0.0489
loss=0.0073, MC price=0.0434, predicted=0.0501
loss=0.0075, MC price=0.0455, predicted=0.0505
loss=0.0074, MC price=0.0446, predicted=0.0519
loss=0.0057, MC price=0.0445, predicted=0.0533
loss=0.0088, MC price=0.0433, predicted=0.0559
loss=0.0064, MC price=0.0445, predicted=0.0551
loss=0.0061, MC price=0.0439, predicted=0.0555
loss=0.0053, MC price=0.0462, predicted=0.0572
loss=0.0068, MC price=0.0430, predicted=0.0598
loss=0.0053, MC price=0.0439, predicted=0.0594
loss=0.0036, MC price=0.0433, predicted=0.0610
loss=0.0059, MC price=0.0457, predicted=0.0614
loss=0.0047, MC price=0.0452, predicted=0.0634
loss=0.0036, MC price=0.0440, predicted=0.0641
loss=0.0036, MC price=0.0479, predicted=0.0636
loss=0.0036, MC price=0.0423, predicted=0.0632
loss=0.0035, MC price=0.0450, predicted=0.0656
loss=0.0041, MC price=0.0453, predicted=0.0657
loss=0.0035, MC price=0.0454, predicted=0.0664
loss=0.0036, MC price=0.0451, predicted=0.0667
loss=0.0042, MC price=0.0458, predicted=0.0677
loss=0.0034, MC price=0.0440, predicted=0.0687
loss=0.0042, MC price=0.0435, predicted=0.0703
loss=0.0035, MC price=0.0423, predicted=0.0704
loss=0.0034, MC price=0.0452, predicted=0.0700
loss=0.0034, MC price=0.0440, predicted=0.0676
loss=0.0038, MC price=0.0462, predicted=0.0679
loss=0.0036, MC price=0.0446, predicted=0.0695
loss=0.0032, MC price=0.0431, predicted=0.0676
loss=0.0037, MC price=0.0446, predicted=0.0683
loss=0.0036, MC price=0.0437, predicted=0.0698
loss=0.0042, MC price=0.0442, predicted=0.0669
loss=0.0039, MC price=0.0441, predicted=0.0695
loss=0.0039, MC price=0.0434, predicted=0.0685
loss=0.0038, MC price=0.0466, predicted=0.0668
loss=0.0039, MC price=0.0456, predicted=0.0679
loss=0.0047, MC price=0.0459, predicted=0.0681
